,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1974.0,13.0,26.0,0.0,63.0
1,1968.0,8.0,32.0,1.0,71.0
2,1962.0,2.0,38.0,2.0,73.0
3,1960.0,0.0,40.0,3.0,73.0
4,1960.0,0.0,40.0,4.0,73.0
5,1960.0,0.0,40.0,5.0,73.0
6,1960.0,0.0,40.0,6.0,73.0
7,1960.0,0.0,40.0,7.0,73.0
8,1960.0,0.0,40.0,8.0,73.0
9,1960.0,0.0,40.0,9.0,73.0
10,1960.0,0.0,40.0,10.0,73.0
11,1960.0,0.0,40.0,11.0,73.0
12,1960.0,0.0,40.0,12.0,73.0
13,1960.0,0.0,40.0,13.0,73.0
14,1960.0,0.0,40.0,14.0,73.0
15,1960.0,0.0,40.0,15.0,73.0
16,1960.0,0.0,40.0,16.0,73.0
17,1960.0,0.0,40.0,17.0,73.0
18,1960.0,0.0,40.0,18.0,73.0
19,1960.0,0.0,40.0,19.0,73.0
20,1960.0,0.0,40.0,20.0,73.0
